Human gene name,Gene name
MT-ND1,mt-Nd1
MT-ND2,mt-Nd2
MT-CO1,mt-Co1
MT-CO2,mt-Co2
MT-ATP8,mt-Atp8
MT-ATP6,mt-Atp6
MT-CO3,mt-Co3
MT-ND3,mt-Nd3
MT-ND4L,mt-Nd4l
MT-ND4,mt-Nd4
MT-ND5,mt-Nd5
MT-ND6,mt-Nd6
MT-CYB,mt-Cytb
SP100,
PRAMEF20,
PRAMEF10,
PRAMEF12,
PRAMEF26,
PRAMEF18,
PRAMEF14,
PRAMEF9,
PRAMEF1,
PRAMEF4,
PRAMEF33,
PRAMEF17,
PRAMEF15,
PRAMEF25,
PRAMEF6,
PRAMEF13,
PRAMEF2,
PRAMEF27,
PRAMEF5,
PRAMEF11,
PRAMEF8,
PRAMEF19,
PRAMEF7,
PRAMEF20,
PRAMEF10,
PRAMEF12,
PRAMEF26,
PRAMEF18,
PRAMEF14,
PRAMEF9,
PRAMEF1,
PRAMEF4,
PRAMEF33,
PRAMEF17,
PRAMEF15,
PRAMEF25,
PRAMEF6,
PRAMEF13,
PRAMEF2,
PRAMEF27,
PRAMEF5,
PRAMEF11,
PRAMEF8,
PRAMEF19,
PRAMEF7,
PRAMEF20,
PRAMEF10,
PRAMEF12,
PRAMEF26,
PRAMEF18,
PRAMEF14,
PRAMEF9,
PRAMEF1,
PRAMEF4,
PRAMEF33,
PRAMEF17,
PRAMEF15,
PRAMEF25,
PRAMEF6,
PRAMEF13,
PRAMEF2,
PRAMEF27,
PRAMEF5,
PRAMEF11,
PRAMEF8,
PRAMEF19,
PRAMEF7,
SP110,
PRAMEF20,
PRAMEF10,
PRAMEF12,
PRAMEF26,
PRAMEF18,
PRAMEF14,
PRAMEF9,
PRAMEF1,
PRAMEF4,
PRAMEF33,
PRAMEF17,
PRAMEF15,
PRAMEF25,
PRAMEF6,
PRAMEF13,
PRAMEF2,
PRAMEF27,
PRAMEF5,
PRAMEF11,
PRAMEF8,
PRAMEF19,
PRAMEF7,
PRAMEF20,
PRAMEF10,
PRAMEF12,
PRAMEF26,
PRAMEF18,
PRAMEF14,
PRAMEF9,
PRAMEF1,
PRAMEF4,
PRAMEF33,
PRAMEF17,
PRAMEF15,
PRAMEF25,
PRAMEF6,
PRAMEF13,
PRAMEF2,
PRAMEF27,
PRAMEF5,
PRAMEF11,
PRAMEF8,
PRAMEF19,
PRAMEF7,
PRAMEF20,
PRAMEF10,
PRAMEF12,
PRAMEF26,
PRAMEF18,
PRAMEF14,
PRAMEF9,
PRAMEF1,
PRAMEF4,
PRAMEF33,
PRAMEF17,
PRAMEF15,
PRAMEF25,
PRAMEF6,
PRAMEF13,
PRAMEF2,
PRAMEF27,
PRAMEF5,
PRAMEF11,
PRAMEF8,
PRAMEF19,
PRAMEF7,
SP110,
SP110,
PRAMEF20,
PRAMEF10,
PRAMEF12,
PRAMEF26,
PRAMEF18,
PRAMEF14,
PRAMEF9,
PRAMEF1,
PRAMEF4,
PRAMEF33,
PRAMEF17,
PRAMEF15,
PRAMEF25,
PRAMEF6,
PRAMEF13,
PRAMEF2,
PRAMEF27,
PRAMEF5,
PRAMEF11,
PRAMEF8,
PRAMEF19,
PRAMEF7,
PRAMEF20,
PRAMEF10,
PRAMEF12,
PRAMEF26,
PRAMEF18,
PRAMEF14,
PRAMEF9,
PRAMEF1,
PRAMEF4,
PRAMEF33,
PRAMEF17,
PRAMEF15,
PRAMEF25,
PRAMEF6,
PRAMEF13,
PRAMEF2,
PRAMEF27,
PRAMEF5,
PRAMEF11,
PRAMEF8,
PRAMEF19,
PRAMEF7,
PRAMEF20,
PRAMEF10,
PRAMEF12,
PRAMEF26,
PRAMEF18,
PRAMEF14,
PRAMEF9,
PRAMEF1,
PRAMEF4,
PRAMEF33,
PRAMEF17,
PRAMEF15,
PRAMEF25,
PRAMEF6,
PRAMEF13,
PRAMEF2,
PRAMEF27,
PRAMEF5,
PRAMEF11,
PRAMEF8,
PRAMEF19,
PRAMEF7,
PRAMEF20,
PRAMEF10,
PRAMEF12,
PRAMEF26,
PRAMEF18,
PRAMEF14,
PRAMEF9,
PRAMEF1,
PRAMEF4,
PRAMEF33,
PRAMEF17,
PRAMEF15,
PRAMEF25,
PRAMEF6,
PRAMEF13,
PRAMEF2,
PRAMEF27,
PRAMEF5,
PRAMEF11,
PRAMEF8,
PRAMEF19,
PRAMEF7,
PRAMEF20,
PRAMEF10,
PRAMEF12,
PRAMEF26,
PRAMEF18,
PRAMEF14,
PRAMEF9,
PRAMEF1,
PRAMEF4,
PRAMEF33,
PRAMEF17,
PRAMEF15,
PRAMEF25,
PRAMEF6,
PRAMEF13,
PRAMEF2,
PRAMEF27,
PRAMEF5,
PRAMEF11,
PRAMEF8,
PRAMEF19,
PRAMEF7,
SP110,
SP110,
PRAMEF20,
PRAMEF10,
PRAMEF12,
PRAMEF26,
PRAMEF18,
PRAMEF14,
PRAMEF9,
PRAMEF1,
PRAMEF4,
PRAMEF33,
PRAMEF17,
PRAMEF15,
PRAMEF25,
PRAMEF6,
PRAMEF13,
PRAMEF2,
PRAMEF27,
PRAMEF5,
PRAMEF11,
PRAMEF8,
PRAMEF19,
PRAMEF7,
PRAMEF20,
PRAMEF10,
PRAMEF12,
PRAMEF26,
PRAMEF18,
PRAMEF14,
PRAMEF9,
PRAMEF1,
PRAMEF4,
PRAMEF33,
PRAMEF17,
PRAMEF15,
PRAMEF25,
PRAMEF6,
PRAMEF13,
PRAMEF2,
PRAMEF27,
PRAMEF5,
PRAMEF11,
PRAMEF8,
PRAMEF19,
PRAMEF7,
SP110,
PRAMEF20,
PRAMEF10,
PRAMEF12,
PRAMEF26,
PRAMEF18,
PRAMEF14,
PRAMEF9,
PRAMEF1,
PRAMEF4,
PRAMEF33,
PRAMEF17,
PRAMEF15,
PRAMEF25,
PRAMEF6,
PRAMEF13,
PRAMEF2,
PRAMEF27,
PRAMEF5,
PRAMEF11,
PRAMEF8,
PRAMEF19,
PRAMEF7,
PRAMEF20,
PRAMEF10,
PRAMEF12,
PRAMEF26,
PRAMEF18,
PRAMEF14,
PRAMEF9,
PRAMEF1,
PRAMEF4,
PRAMEF33,
PRAMEF17,
PRAMEF15,
PRAMEF25,
PRAMEF6,
PRAMEF13,
PRAMEF2,
PRAMEF27,
PRAMEF5,
PRAMEF11,
PRAMEF8,
PRAMEF19,
PRAMEF7,
PRAMEF20,
PRAMEF10,
PRAMEF12,
